Country or area, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011
Per 100 inhabitants, 38, 47, 59, 67, 71, 78, 80, 81

Gabon

Number (thousands), 489, 737, 898, 1169, 1300, 1373, 1610, 1800

Per 100 inhabitants, 36, 54, 64, 82, 90, 93, 107, 117

Gambia

Number (thousands), 175, 247, 404, 800, 1166, 1313, 1478, 1581

Per 100 inhabitants, 12, 16, 26, 50, 71, 78, 86, 89

Georgia

Number (thousands), 841, 1174, 1704, 2600, 2755, 2837, 3980, 4431

Per 100 inhabitants, 19, 26, 38, 59, 63, 65, 91, 102

Germany

Number (thousands), 71322, 79271, 85652, 96233, 105523, 105000, 104560, 108700

Per 100 inhabitants, 86, 96, 104, 117, 128, 127, 127, 132

Ghana

Number (thousands), 1695, 2875, 5207, 7604, 11570, 15109, 17437, 21166

Per 100 inhabitants, 8, 13, 23, 33, 50, 63, 71, 85

Gibraltar

Number (thousands), 18, 20, 22, 24, 26, 29, 30, 33

Per 100 inhabitants, 64, 69, 75, 82, 89, 98, 103, 111

Greece

Number (thousands), 9324, 10260, 10980, 12295, 13799, 13295, 12293, 12128

Per 100 inhabitants, 84, 92, 98, 109, 122, 117, 108, 106

Greenland

Number (thousands), 39, 46, 54, 66, 56, 53, 57, 59

Per 100 inhabitants, 68, 81, 94, 116, 97, 93, 100, 103

Grenada

Number (thousands), 43, 47, 46, 51, 60, 114, 122, 

Per 100 inhabitants, 42, 46, 45, 50, 58, 110, 117, 

Guam

Number (thousands), 98, 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 59, 0, 0, 0, 0, 0, 0, 

Guatemala

Number (thousands), 3168, 4510, 7179, 11898, 14949, 17307, 18068, 20716

Per 100 inhabitants, 26, 35, 55, 89, 109, 123, 126, 140

Guernsey

Number (thousands), 44, 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 79, 0, 0, 0, 0, 0, 0, 

Guinea

Number (thousands), 155, 189, 0, 2000, 2750, 3489, 4000, 4500

Per 100 inhabitants, 2, 2, 0, 21, 29, 36, 40, 44

Guinea-Bissau

Number (thousands), 39, 99, 157, 296, 500, 560, 0, 402

Per 100 inhabitants, 3, 7, 11, 21, 34, 38, 0, 26

Guyana

Number (thousands), 172, 281, 400, 539, 448, 514, 555, 519

Per 100 inhabitants, 23, 38, 53, 72, 60, 68, 74, 69

Haiti

Number (thousands), 400, 500, 1200, 2500, 3200, 3648, 4000, 4200

Per 100 inhabitants, 4, 5, 13, 26, 33, 37, 40, 41

Honduras

Number (thousands), 707, 1281, 2241, 4185, 6211, 8391, 9505, 8062

Per 100 inhabitants, 10, 19, 32, 58, 85, 113, 125, 104

Hungary

Number (thousands), 8727, 9320, 9966, 11030, 12224, 11792, 12012, 11690

Per 100 inhabitants, 86, 92, 99, 110, 122, 118, 120, 117

Iceland

Number (thousands), 290, 283, 302, 326, 337, 340, 341, 344

Per 100 inhabitants, 99, 95, 100, 107, 108, 108, 107, 106

India

Number (thousands), 52220, 90140, 166050, 233620, 346890, 525090, 7521901, 893862

Per 100 inhabitants, 5, 8, 14, 20, 29, 43, 611, 72

Indonesia

Number (thousands), 30337, 46910, 63803, 93387, 140578, 163677, 211290, 236799

Per 100 inhabitants, 14, 21, 28, 40, 60, 69, 88, 98

Iran (Islamic Rep. of)

Number (thousands), 5076, 8511, 15385, 29770, 43000, 52555, 54052, 56043

Per 100 inhabitants, 7, 12, 22, 42, 59, 72, 73, 75

Iraq

Number (thousands), 574, 1533, 9345, 14021, 17529, 20117, 23264, 25519

Per 100 inhabitants, 2, 6, 33, 48, 59, 65, 73, 78

Ireland

Number (thousands), 3860, 4270, 4690, 4971, 5048, 4704, 47011, 4906

Per 100 inhabitants, 94, 103, 111, 116, 116, 107, 1051, 108

Israel

Number (thousands), 7222, 7757, 8404, 8902, 8982, 9022, 91111, 9200

Per 100 inhabitants, 112, 117, 124, 129, 127, 124, 1231, 122

Italy

Number (thousands), 62750, 71500, 80418, 89801, 90341, 88024, 90600, 92300

Per 100 inhabitants, 108, 122, 136, 151, 151, 146, 150, 152

Jamaica

Number (thousands), 1838, 1981, 2275, 2684, 2723, 2956, 3182, 2975

Per 100 inhabitants, 69, 74, 84, 99, 100, 108, 116, 108

Japan

Number (thousands), 91474, 96484, 99826, 107339, 110395, 116295, 123287, 129868

Per 100 inhabitants, 72, 76, 79, 85, 87, 92, 97, 103

Jersey

Number (thousands), 84, 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 95, 0, 0, 0, 0, 0, 0, 

Jordan

Number (thousands), 1624, 3138, 4343, 4772, 5314, 6014, 6620, 7483

Per 100 inhabitants, 31, 59, 79, 84, 91, 100, 107, 118

Kazakhstan

Number (thousands), 2447, 5398, 7776, 12323, 14911, 17063, 19403, 23103

Per 100 inhabitants, 16, 36, 51, 80, 95, 108, 121, 143

Kenya

Number (thousands), 2546, 4612, 7340, 11349, 16304, 19365, 24969, 26981

Per 100 inhabitants, 7, 13, 20, 30, 42, 49, 62, 65

Kiribati

Number (thousands), 1, 1, 1, 1, 1, 10, 11, 14

Per 100 inhabitants, 1, 1, 1, 1, 1, 10, 11, 14

Kuwait

Number (thousands), 2000, 2277, 2530, 2774, 2907, 3876, 4400, 

Per 100 inhabitants, 91, 101, 108, 113, 114, 146, 161, 

Kyrgyzstan

Number (thousands), 263, 542, 1262, 2168, 3394, 4487, 5275, 5653

Per 100 inhabitants, 5, 11, 25, 42, 65, 85, 99, 105

Lao Peoples Dem. Rep.

Number (thousands), 204, 658, 1010, 1478, 2022, 3235, 4003, 5481

Per 100 inhabitants, 4, 11, 17, 25, 34, 53, 65, 87

Latvia

Number (thousands), 1537, 1872, 2184, 2217, 2299, 2304, 2306, 2309

Per 100 inhabitants, 66, 81, 95, 97, 101, 102, 102, 103

Lebanon

Number (thousands), 884, 994, 1106, 1260, 1427, 2390, 2875, 3350

Per 100 inhabitants, 22, 25, 27, 30, 34, 57, 68, 79

Lesotho

Number (thousands), 196, 250, 358, 456, 593, 661, 987, 1051

Per 100 inhabitants, 10, 12, 17, 22, 28, 31, 45, 48

Liberia

Number (thousands), 94, 160, 280, 563, 855, 1085, 1571, 2030

Per 100 inhabitants, 3, 5, 8, 16, 23, 28, 39, 49

Libyan Arab Jamah.

Number (thousands), 500, 2000, 3928, 4500, 7379, 9534, 10900, 10000

Per 100 inhabitants, 9, 35, 67, 75, 120, 152, 172, 156

Liechtenstein

Number (thousands), 26, 28, 29, 32, 34, 35, 36, 37

Per 100 inhabitants, 74, 79, 82, 91, 96, 98, 99, 102

Lithuania

Number (thousands), 3051, 4353, 4718, 4912, 5023, 4961, 4891, 5004

Per 100 inhabitants, 89, 127, 139, 145, 149, 148, 147, 151

Luxembourg

Number (thousands), 470, 510, 713, 685, 707, 720, 727, 765

Per 100 inhabitants, 104, 112, 153, 144, 145, 145, 143, 148

Madagascar

Number (thousands), 334, 510, 1046, 2218, 4835, 6284, 7712, 8160

Per 100 inhabitants, 2, 3, 6, 12, 25, 31, 37, 38

Malawi

Number (thousands), 222, 421, 620, 1051, 1508, 2486, 3117, 3856

Per 100 inhabitants, 2, 3, 5, 8, 11, 17, 21, 25

Malaysia

Number (thousands), 14611, 19545, 19464, 23347, 27713, 30144, 33859, 36661

Per 100 inhabitants, 57, 75, 73, 86, 101, 108, 119, 127

Maldives

Number (thousands), 113, 204, 271, 314, 436, 458, 494, 530

Per 100 inhabitants, 39, 69, 91, 103, 142, 147, 156, 166

Mali

