Country or area, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011
Solomon Islands

Number (thousands), 3, 6, 7, 11, 30, 50, 150, 275

Per 100 inhabitants, 1, 1, 1, 2, 6, 10, 28, 50

Somalia

Number (thousands), 500, 500, 550, 600, 627, 641, 648, 655

Per 100 inhabitants, 6, 6, 6, 7, 7, 7, 7, 7

South Africa

Number (thousands), 20839, 33960, 39662, 42300, 45000, 46436, 50372, 64000

Per 100 inhabitants, 44, 71, 82, 87, 91, 93, 100, 127

Spain

Number (thousands), 38623, 42694, 45695, 48422, 49623, 51084, 51601, 53067

Per 100 inhabitants, 90, 98, 104, 109, 110, 112, 112, 114

Sri Lanka

Number (thousands), 2211, 3362, 5412, 7983, 11082, 16305, 17359, 18319

Per 100 inhabitants, 11, 17, 27, 39, 54, 79, 83, 87

Sudan (former)

Number (thousands), 1049, 1828, 4683, 8218, 11991, 15340, 18093, 25107

Per 100 inhabitants, 3, 5, 12, 20, 29, 36, 42, 56

Suriname

Number (thousands), 213, 233, 320, 380, 657, 764, 890, 947

Per 100 inhabitants, 43, 47, 63, 74, 128, 147, 170, 179

Swaziland

Number (thousands), 145, 200, 250, 380, 532, 664, 726, 767

Per 100 inhabitants, 13, 18, 22, 34, 46, 57, 61, 64

Sweden

Number (thousands), 8785, 9104, 9607, 10117, 10014, 10440, 10885, 11194

Per 100 inhabitants, 98, 101, 106, 110, 108, 112, 116, 119

Switzerland

Number (thousands), 6275, 6834, 7436, 8209, 8897, 9323, 9644, 10017

Per 100 inhabitants, 85, 92, 100, 109, 117, 122, 126, 130

Syrian Arab Republic

Number (thousands), 2346, 2950, 4675, 6235, 7056, 10022, 11799, 13117

Per 100 inhabitants, 13, 16, 25, 32, 36, 50, 58, 63

Tajikistan

Number (thousands), 135, 265, 2150, 2133, 3674, 4900, 5941, 6324

Per 100 inhabitants, 2, 4, 33, 32, 55, 72, 86, 91

Thailand

Number (thousands), 27379, 31137, 40723, 52974, 61837, 65952, 71624, 78668

Per 100 inhabitants, 41, 47, 61, 78, 91, 96, 104, 113

TFYR of Macedonia

Number (thousands), 986, 1131, 1264, 1794, 1968, 1943, 2153, 2257

Per 100 inhabitants, 48, 55, 62, 88, 96, 94, 105, 109

Timor-Leste

Number (thousands), 26, 33, 49, 78, 125, 351, 601, 614

Per 100 inhabitants, 3, 3, 5, 7, 12, 32, 53, 53

Togo

Number (thousands), 333, 434, 708, 1190, 1550, 2187, 2452, 3105

Per 100 inhabitants, 6, 8, 13, 21, 27, 37, 41, 50

Tonga

Number (thousands), 16, 30, 30, 47, 50, 53, 54, 55

Per 100 inhabitants, 16, 30, 30, 45, 49, 51, 52, 53

Trinidad and Tobago

Number (thousands), 651, 924, 1519, 1510, 1806, 1846, 1894, 1825

Per 100 inhabitants, 50, 70, 115, 114, 136, 138, 141, 136

Tunisia

Number (thousands), 3736, 5681, 7339, 7843, 8602, 9797, 11114, 12388

Per 100 inhabitants, 38, 57, 73, 77, 84, 95, 106, 117

Turkey

Number (thousands), 34708, 43609, 52663, 61976, 65824, 62780, 61770, 65322

Per 100 inhabitants, 52, 64, 76, 89, 93, 87, 85, 89

Turkmenistan

Number (thousands), 50, 105, 217, 382, 1135, 2133, 3198, 3511

Per 100 inhabitants, 1, 2, 5, 8, 23, 43, 63, 69

Tuvalu

Number (thousands), 1, 1, 2, 2, 0, 1, 2, 2

Per 100 inhabitants, 5, 13, 16, 18, 0, 10, 16, 22

Uganda

Number (thousands), 1165, 1315, 2009, 4195, 8555, 9384, 12828, 16697

Per 100 inhabitants, 4, 5, 7, 14, 27, 29, 38, 48

Ukraine

Number (thousands), 13735, 30014, 49076, 55240, 55681, 54943, 53920, 55567

Per 100 inhabitants, 29, 64, 105, 119, 121, 120, 119, 123

United Arab Emirates

Number (thousands), 3683, 4534, 5519, 7732, 9358, 10672, 10926, 11727

Per 100 inhabitants, 101, 111, 118, 143, 151, 154, 145, 149

United Kingdom

Number (thousands), 59688, 65472, 70078, 73836, 76735, 80255, 81115, 81612

Per 100 inhabitants, 100, 109, 116, 121, 125, 130, 131, 131

United Rep. of Tanzania

Number (thousands), 1942, 2964, 5609, 8252, 13007, 17469, 20984, 25666

Per 100 inhabitants, 5, 8, 14, 20, 31, 40, 47, 56

United States

Number (thousands), 184819, 203700, 229600, 249300, 261300, 274300, 278900, 331600

Per 100 inhabitants, 63, 69, 77, 82, 86, 89, 90, 1061

United States Virgin Is.1

Number (thousands), 64, 80, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 59, 73, 0, 0, 0, 0, 0, 

Uruguay

Number (thousands), 600, 1155, 2330, 3004, 3508, 4112, 4437, 47578

Per 100 inhabitants, 18, 35, 70, 90, 105, 122, 132, 1418

Uzbekistan

Number (thousands), 544, 720, 2530, 5691, 12375, 16418, 20952, 25442

Per 100 inhabitants, 2, 3, 10, 21, 46, 61, 76, 92

Vanuatu

Number (thousands), 11, 13, 15, 26, 36, 126, 285, 

Per 100 inhabitants, 5, 6, 7, 12, 16, 54, 119, 

Venezuela (Boliv. Rep. of)

Number (thousands), 8421, 12496, 18789, 23820, 27414, 28124, 27880, 287825

Per 100 inhabitants, 32, 47, 69, 86, 98, 99, 96, 985

Viet Nam

Number (thousands), 4960, 9593, 18892, 45024, 74872, 98224, 111570, 127318

Per 100 inhabitants, 6, 12, 22, 53, 87, 113, 127, 143

Yemen

Number (thousands), 1476, 2278, 2978, 4349, 6445, 8313, 11085, 11668

Per 100 inhabitants, 7, 11, 14, 20, 28, 36, 46, 47

Zambia

Number (thousands), 464, 950, 1663, 2639, 3539, 4407, 5447, 8165

Per 100 inhabitants, 4, 8, 14, 22, 29, 35, 42, 61

Zimbabwe

Number (thousands), 426, 647, 849, 1226, 1655, 3991, 7700, 9200

Per 100 inhabitants, 3, 5, 7, 10, 13, 32, 61, 72
