Number and per 100 inhabitants"

Country or area, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005
Per 100 inhabitants, 36, 49, 63, 74, 83, 88, 95, 100

Djibouti

Number, 220, 280, 230, 3000, 15000, 23000, 34482, 44053

Per 100 inhabitants, 0, 0, 0, 0, 2, 3, 5, 6

Dominica+

Number, 650, 800, 1200, 7710, 12173, 23786, 41838, 

Per 100 inhabitants, 1, 1, 2, 11, 17, 33, 59, 

Dominican Republic

Number, 209384, 424434, 705431, 1270082, 1700609, 2122543, 2534063, 3623289

Per 100 inhabitants, 3, 5, 9, 16, 20, 24, 29, 41

Ecuador

Number, 242812, 383185, 482213, 859152, 1560861, 2398161, 3544174, 6246332

Per 100 inhabitants, 2, 3, 4, 7, 12, 18, 27, 47

Egypt

Number, 90786, 480974, 1359900, 2793800, 4494700, 5797530, 7643060, 13629602

Per 100 inhabitants, 0, 1, 2, 4, 7, 8, 11, 18

El Salvador

Number, 137114, 511365, 743628, 857782, 888818, 1149790, 1832579, 2411753

Per 100 inhabitants, 2, 8, 12, 13, 14, 17, 28, 35

Equatorial Guinea

Number, 297, 600, 5000, 15000, 32000, 41500, 61900, 96900

Per 100 inhabitants, 0, 0, 1, 3, 6, 8, 12, 19

Eritrea

Number, 0, 0, 0, 0, 0, 0, 20000, 40438

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 0, 1

Estonia

Number, 247000, 387000, 557000, 651200, 881000, 1050241, 1255731, 1445300

Per 100 inhabitants, 17, 27, 39, 46, 65, 78, 94, 109

Ethiopian-

Number, 0, 6740, 17757, 27500, 50369, 97827, 178000, 410630

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 0, 1

Faeroe Islands

Number, 6516, 10761, 16971, 24487, 34737, 38026, 41298, 42533

Per 100 inhabitants, 15, 24, 37, 53, 75, 82, 88, 89

Falkland Is. (Malvinas)

Number, 0, 0, 0, 0, 0, 0, 0, 766

Fiji

Number, 8000, 23380, 55057, 80933, 89900, 109882, 142190, 176651

Per 100 inhabitants, 1, 3, 7, 10, 11, 13, 17, 24

Finland

Number 2 845 985, 0, 3273433, 3728625, 4175587, 4516772, 4747126, 4988000, 5270000

Per 100 inhabitants, 55, 63, 72, 80, 87, 91, 96, 100

France

Number, 11210100, 21433500, 29052360, 36997400, 38585300, 41683100, 44551800, 48099000

Per 100 inhabitants, 19, 37, 49, 62, 65, 70, 74, 80

French Guiana

Number, 4000, 18000, 39830, 75320, 87300, 92000, 98000, 

Per 100 inhabitants, 3, 11, 24, 45, 50, 51, 54, 

French Polynesia

Number, 11060, 21929, 39900, 67300, 52250, 60100, 72525, 87000

Per 100 inhabitants, 5, 10, 17, 28, 21, 24, 29, 34

Gabon

Number, 9694, 8891, 120000, 150000, 279289, 300000, 489367, 649807

Per 100 inhabitants, 1, 1, 10, 12, 21, 22, 36, 47

Gambia

Number, 5048, 5307, 5600, 55085, 100000, 149300, 175000, 247478

Per 100 inhabitants, 0, 0, 0, 4, 8, 11, 12, 16

Georgia

Number, 60000, 133243, 194741, 301327, 503619, 711224, 840600, 1459180

Per 100 inhabitants, 1, 3, 4, 6, 11, 16, 19, 33

Germany

Number, 13913000, 23446000, 48202000, 56126000, 59128000, 64800000, 71300000, 79200000

Per 100 inhabitants, 17, 29, 59, 68, 72, 79, 86, 96

Ghana

Number, 41753, 70026, 130045, 243797, 386775, 795529, 1695000, 2842444

Per 100 inhabitants, 0, 0, 1, 1, 2, 4, 8, 13

Greece

Number, 2047000, 3904000, 5932403, 7963742, 9314260, 8936202, 9305738, 10042633

Per 100 inhabitants, 19, 37, 56, 75, 85, 78, 84, 92

Greenland

Number, 8899, 13521, 15977, 16747, 19924, 27400, 32200, 

Per 100 inhabitants, 16, 24, 29, 30, 35, 48, 0, 

Grenada

Number, 1410, 2010, 4300, 6410, 7550, 42290, 43310, 46860

Per 100 inhabitants, 1, 2, 4, 6, 7, 41, 42, 46

Guadeloupe

Number, 14227, 88080, 169840, 292520, 299100, 289400, 314700, 

Per 100 inhabitants, 3, 21, 40, 68, 69, 66, 71, 

Guam

Number, 12837, 20000, 27200, 32600, 70500, 79800, 98000, 

Per 100 inhabitants, 9, 13, 18, 21, 44, 49, 59, 

Guatemala

Number, 111445, 337800, 856831, 1146441, 1577085, 2034776, 3168256, 4510067

Per 100 inhabitants, 1, 3, 8, 10, 13, 17, 25, 36

Guernsey

Number, 11665, 15320, 21885, 31539, 36580, 41530, 43824, 

Per 100 inhabitants, 19, 25, 35, 56, 65, 74, 79, 

Guinea

Number, 21567, 25182, 42112, 55670, 90772, 111500, 154900, 189000

Per 100 inhabitants, 0, 0, 1, 1, 1, 1, 2, 2

Guinea-Bissau

Number, 0, 0, 0, 0, 0, 1275, 41664, 67000

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 3, 7

Guyana

Number, 1454, 2815, 39830, 75320, 79400, 137955, 171656, 281368

Per 100 inhabitants, 0, 0, 5, 10, 11, 18, 23, 37

Haiti

Number, 10000, 25000, 55000, 91500, 140000, 320000, 400000, 

Per 100 inhabitants, 0, 0, 1, 1, 2, 4, 5, 

Honduras

Number, 34896, 78588, 155271, 237629, 326508, 379362, 707201, 1281462

Per 100 inhabitants, 1, 1, 2, 4, 5, 6, 10, 18

Hungary

Number, 1070154, 1628153, 3076279, 4967430, 6886111, 7944586, 8727188, 9320000

Per 100 inhabitants, 11, 16, 30, 49, 68, 79, 86, 92

Iceland

Number, 104280, 172614, 214896, 248131, 2604382, 279670, 290068, 304001

Per 100 inhabitants, 38, 62, 76, 86, 90, 97, 99, 103

lndia

Number, 1195400, 1884311, 3577095, 6431520, 12687637, 26154405, 47300000, 90000000

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 4, 8

Indonesia

Number, 7065820, 2220969, 3669327, 6520947, 11700000, 18495251, 30336607, 46909972

Per 100 inhabitants, 1, 1, 2, 3, 6, 9, 14, 21

Iran (Islamic Rep. of)

Number, 389974, 490478, 962595, 2087353, 2279143, 3449876, 4271028, 722253811

Per 100 inhabitants, 1, 1, 2, 3, 3, 5, 6, 10

lraq

Number, 0, 0, 0, 0, 20000, 80000, 574000, 

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 2, 

lreland

Number, 946000, 1677000, 2461000, 2970000, 3000000, 3500000, 3860000, 4270000

Per 100 inhabitants, 26, 45, 65, 77, 76, 88, 95, 103

Israel

Number, 2147000, 2880000, 4400000, 5900000, 6334000, 6618367, 7221955, 7757000

Per 100 inhabitants, 36, 47, 70, 85, 95, 98, 105, 112

Italy

Number, 20489000, 30296000, 42246000, 51246000, 54200000, 56770000, 62750000, 72200000

Per 100 inhabitants, 36, 53, 74, 88, 96, 98, 108, 124

Jamaica+

Number, 78624, 144388, 366952, 635000, 1187295, 1600000, 2200000, 2700000

Per 100 inhabitants, 3, 6, 14, 23, 47, 60, 75, 106

Japan

Number, 47307592, 56845594, 66784374, 74819158, 81118324, 86655000, 91474000, 964840005

Per 100 inhabitants, 37, 45, 53, 59, 64, 68, 72, 75

Jersey

Number, 18225, 24636, 44742, 61417, 0, 81200, 83900, 

Per 100 inhabitants, 21, 29, 52, 70, 0, 92, 95, 

Jordan

Number, 82429, 118417, 388949, 865627, 1219597, 1325313, 1624110, 

Per 100 inhabitants, 2, 2, 8, 17, 23, 24, 29, 

Kazakhstan

Number, 29700, 49500, 197300, 582000, 1027000, 1330730, 2758940, 4955200

Per 100 inhabitants, 0, 0, 1, 4, 7, 9, 19, 33

Kenya

Number, 10756, 23757, 127404, 600000, 1187122, 1590785, 2546157, 4611970

Per 100 inhabitants, 0, 0, 0, 2, 4, 5, 8, 13

Kiribati

Number, 22, 200, 300, 395, 495, 526, 615, 

Per 100 inhabitants, 0, 0, 0, 0, 1, 1, 1, 

"Korea,  Republic of"

Number, 14018612, 23442724, 26816398, 29045596, 32342493, 33591758, 36586052, 38342323

Per 100 inhabitants, 31, 51, 58, 61, 68, 70, 76, 79

Kuwait

Number, 250000, 300000, 476000, 877920, 1227000, 1420000, 2000000, 2379811

Per 100 inhabitants, 12, 14, 22, 39, 52, 57, 78, 89

Kyrgyzstan

Number, 1350, 2574, 9000, 27000, 53084, 138279, 263375, 541652

Per 100 inhabitants, 0, 0, 0, 1, 1, 3, 6, 10

Lao People's Dem. Rep.

Number, 6453, 12078, 12681, 29545, 55160, 112275, 204191, 638202

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 4, 11

Latvia

Number, 167460, 274344, 401272, 656835, 917196, 1219550, 1536712, 1871602

Per 100 inhabitants, 7, 11, 17, 28, 39, 53, 67, 81

Lebanon

Number, 505300, 627000, 743000, 766754, 775104, 820000, 888000, 990000

Per 100 inhabitants, 16, 19, 23, 23, 23, 23, 25, 28

Lesotho

Number, 9831, 12000, 21600, 57000, 96843, 101474, 159000, 245052

Per 100 inhabitants, 1, 1, 1, 3, 8, 7, 11, 14

Liberia

Number, 0, 0, 1500, 2000, 0, 47250, 94370, 160000

Per 100 inhabitants, 0, 0, 0, 0, 0, 1, 3, 5

Libyan Arab Jamah.

Number, 20000, 30000, 40000, 50000, 70000, 127000, 234800, 

Per 100 inhabitants, 0, 1, 1, 1, 1, 2, 4, 

Liechtenstein

Number, 7500, 9000, 10000, 11000, 11402, 25000, 25500, 27503

Per 100 inhabitants, 23, 28, 30, 33, 34, 73, 74, 79

Lithuania

Number, 267615, 332000, 524000, 1017999, 1645568, 2169866, 3421538, 4353447

Per 100 inhabitants, 7, 9, 14, 29, 47, 63, 99, 127

Luxembourg

Number, 130500, 209190, 303274, 409064, 473000, 539000, 646000, 719950

Per 100 inhabitants, 31, 48, 69, 93, 106, 119, 141, 155

Madagascar

Number, 12784, 35752, 63094, 147500, 163010, 283666, 333888, 510269

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 2, 3

Malawi

Number, 10500, 22500, 49000, 55730, 86047, 135114, 222135, 429305

Per 100 inhabitants, 0, 0, 0, 1, 1, 1, 2, 3

Malaysia

Number, 2200000, 2990000, 5121748, 7385240, 9053000, 11124112, 14611902, 19545000

Per 100 inhabitants, 10, 14, 22, 31, 37, 44, 57, 75

Maldives

Number, 1610, 2930, 7640, 18890, 41900, 66470, 113250, 202070

Per 100 inhabitants, 1, 1, 3, 7, 15, 23, 35, 

Mali

Number, 4473, 6387, 10398, 45340, 52639, 244930, 400000, 869576

Per 100 inhabitants, 0, 0, 0, 0, 1, 2, 4, 8

Malta

Number, 22531, 37541, 114444, 239416, 276859, 289992, 306067, 323980

Per 100 inhabitants, 6, 10, 29, 61, 70, 73, 77, 81

Marshall Islands

Number, 345, 443, 447, 489, 552, 598, 644, 

Per 100 inhabitants, 1, 1, 1, 1, 1, 1, 1, 

Martinique

Number, 55000, 102000, 162080, 286120, 298300, 277800, 295400, 

Per 100 inhabitants, 15, 27, 42, 74, 77, 71, 75, 

Mauritania

Number, 0, 0, 15300, 110463, 247238, 350954, 522400, 745615

Per 100 inhabitants, 0, 0, 1, 4, 9, 13, 18, 24

Mauritius

Number, 60448, 102119, 180000, 272416, 348137, 462405, 547745, 656828

Per 100 inhabitants, 5, 9, 15, 23, 29, 38, 44, 53

Mayotte

Number, 0, 0, 0, 0, 20300, 33200, 48100, 

Per 100 inhabitants, 0, 0, 0, 0, 13, 20, 29, 

Mexico

Number, 3349475, 7731635, 14077880, 21757559, 25928266, 30097700, 38451135, 47140950

