Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013
Number (thousands), 8, 8, 8, 8, 8, 8, 7

Per 100 inhabitants, 4.7, 4.5, 4.4, 4.4, 4.4, 4.3, 3.6

Saudi Arabia

Number (thousands), 3996, 4100, 4171, 4166, 4633, 4802, 4718

Per 100 inhabitants, 15.4, 15.6, 15.6, 15.3, 16.7, 17, 16.4

Senegal

Number (thousands), 269, 238, 279, 342, 346, 340, 344

Per 100 inhabitants, 2.3, 1.9, 2.2, 2.6, 2.6, 2.5, 2.4

Serbia

Number (thousands), 2993, 3085, 3106, 3110, 3030, 2977, 3032

Per 100 inhabitants, 37, 38.4, 39, 39.3, 38.8, 38.4, 39.4

Seychelles

Number (thousands), 23, 22, 26, 22, 28, 21, 22

Per 100 inhabitants, 25.5, 24.8, 28.8, 24.2, 30.4, 22.7, 23.4

Sierra Leone

Number (thousands), 30, 32, 33, 14, 16, 18, 16

Per 100 inhabitants, 0.6, 0.6, 0.6, 0.2, 0.3, 0.3, 0.3

Singapore

Number (thousands), 1862, 1876, 1931, 1996, 2018, 1988, 1971

Per 100 inhabitants, 39.3, 38.7, 38.9, 39.3, 38.9, 37.5, 36.4

Slovakia

Number (thousands), 1310, 1289, 1220, 1099, 1056, 975, 967

Per 100 inhabitants, 24.2, 23.8, 22.5, 20.2, 19.4, 17.9, 17.7

Slovenia

Number (thousands), 1006, 978, 939, 911, 878, 830, 792

Per 100 inhabitants, 49.8, 48.1, 45.9, 44.3, 42.6, 40.2, 38.2

Solomon Islands

Number (thousands), 8, 8, 8, 8, 8, 8, 8

Per 100 inhabitants, 1.6, 1.6, 1.6, 1.6, 1.6, 1.5, 1.4

Somalia

Number (thousands), 100, 100, 100, 100, 90, 70, 64

Per 100 inhabitants, 1.1, 1.1, 1.1, 1, 0.9, 0.7, 0.6

South Africa

Number (thousands), 4882, 4875, 4868, 4861, 4854, 4847, 4836

Per 100 inhabitants, 9.8, 9.7, 9.6, 9.5, 9.3, 9.3, 9.2

South Sudan

Number (thousands), 0, 0, 0, 2, 2, 0, 

Per 100 inhabitants A, 0, 0, 0, 0, 0, 0, 

Spain

Number (thousands), 20193, 20576, 20244, 20181, 19889, 19575, 19105

Per 100 inhabitants, 45.2, 45.5, 44.3, 43.7, 42.8, 41.9, 40.7

Sri Lanka

Number (thousands), 2742, 3446, 3436, 3578, 3608, 3449, 2707

Per 100 inhabitants, 13.5, 16.9, 16.7, 17.2, 17.2, 16.4, 12.7

State of Palestine

Number (thousands), 349, 355, 368, 360, 383, 394, 402

Per 100 inhabitants, 9.4, 9.3, 9.4, 9, 9.3, 9.3, 9.3

Sudan (former)

Number (thousands), 345, 366, 370, 545, 484, 425, 416

Per 100 inhabitants, 0.9, 0.9, 0.9, 1.3, 1.3, 1.1, 1.1

Suriname

Number (thousands), 82, 83, 84, 85, 84, 86, 85

Per 100 inhabitants, 16.1, 16.1, 16.1, 16.2, 15.9, 16.2, 15.8

Swaziland

Number (thousands), 45, 45, 45, 53, 76, 46, 46

Per 100 inhabitants, 4, 3.9, 3.9, 4.4, 6.3, 3.7, 3.7

Sweden

Number (thousands), 5500, 5338, 5140, 4734, 4482, 4169, 3887

Per 100 inhabitants, 60.1, 57.81, 55.2, 50.5, 47.4, 43.8, 40.6

Switzerland

Number (thousands), 4927, 4828, 5132, 4908, 4899, 4722, 4677

Per 100 inhabitants, 65.1, 63.1, 66.3, 62.7, 61.9, 59, 57.9

Syrian Arab Republic

Number (thousands), 3452, 3633, 3871, 4069, 4289, 4254, 4429

Per 100 inhabitants, 17.7, 17.9, 18.4, 18.9, 19.7, 19.4, 20.2

Tajikistan

Number (thousands), 293, 287, 347, 368, 380, 393, 425

Per 100 inhabitants, 4.1, 3.9, 4.7, 4.8, 4.9, 4.9, 5.2

Thailand

Number (thousands), 7024, 7394, 7205, 6835, 6661, 6377, 6058

Per 100 inhabitants, 10.6, 11.2, 10.9, 10.3, 10, 9.6, 9

TFYR of Macedonia

Number (thousands), 464, 457, 437, 413, 4221, 408, 399

Per 100 inhabitants, 22.1, 21.8, 20.8, 19.7, 20.1, 19.4, 19

Timor-Leste

Number (thousands), 2, 3, 3, 3, 3, 3, 3

Per 100 inhabitants, 0.2, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3

Togo

Number (thousands), 99, 141, 179, #60, 60, 62, 63

Per 100 inhabitants, 1.7, 2.4, 2.9, #1.0, 0.9, 0.9, 0.9

Tokelau

Per 100 inhabitants, 26.3, 26.6, 26.6, 26.4, 0, 0, 

Tonga

Number (thousands), 21, 26, 31, 31, 30, 30, 31

Per 100 inhabitants, 20.6, 24.8, 29.9, 29.8, 28.7, 28.6, 29.4

Trinidad and Tobago

Number (thousands), 307, 315, 303, 293, 292, 287, 291

Per 100 inhabitants, 23.5, 23.9, 22.9, 22.1, 21.9, 21.4, 21.7

Tunisia

Number (thousands), 1273, 1239, 1279, 1290, 1218, 1099, 1022

Per 100 inhabitants, 12.4, 11.9, 12.2, 12.1, 11.3, 10.1, 9.3

Turkey

Number (thousands), 18201, 17502, 16534, 16201, 15211, 13860, 13552

Per 100 inhabitants, 26.2, 24.9, 23.2, 22.5, 20.8, 18.7, 18.1

Turkmenistan

Number (thousands), 458, 478, 494, 520, 547, 575, 602

Per 100 inhabitants, 9.4, 9.7, 9.9, 10.3, 10.7, 11.1, 11.5

Turks and Caicos Islands

Number (thousands), 4, 4, 4, 4, 0, 4, 4

Per 100 inhabitants, 12.9, 12.6, 12.2, 11.9, 0, 11.4, 12.1

Tuvalu

Number (thousands), 1, 1, 1, 1, 1, 1, 1

Per 100 inhabitants, 13.3, 10.2, 8.2, 12.2, 14.7, 14.7, 14.7

Uganda

Number (thousands), 166, 168, 234, 327, 465, 315, 207

Per 100 inhabitants, 0.5, 0.5, 0.7, 1, 1.3, 0.9, 0.6

Ukraine

Number (thousands), 12906, 13177, 13026, 12941, 12681, 12182, 11831

Per 100 inhabitants, 27.7, 28.4, 28.2, 28.1, 27.7, 26.8, 26.2

United Arab Emirates

Number (thousands), 1386, 1596, 1580, 1479, #1825, 1967, 2086

Per 100 inhabitants, 23.9, 23.5, 20.5, 17.5, 20.5, 21.4, 22.3

United Kingdom

Number (thousands), 33462, 34192, 33506, 33409, 33252, 33197, 33384

Per 100 inhabitants, 54.9, 55.8, 54.3, 53.8, 53.3, 52.9, 52.9

United Rep. of Tanzania

Number (thousands), 163, 124, 173, 175, 161, 176, 165

Per 100 inhabitants, 0.4, 0.3, 0.4, 0.4, 0.4, 0.4, 0.3

United States

Number (thousands), 158418, 162763, 152873, 149652, 143319, 138072, 135141

Per 100 inhabitants, 52.2, 53.1, 49.4, 47.9, 45.5, 43.5, 42.2

United States Virgin Is.

Number (thousands), 73, 74, 75, 76, 0, 0, 76

Per 100 inhabitants, 68.5, 69.5, 70.4, 71.3, 0, 0, 71.3

Uruguay

Number (thousands), 965, 959, 954, 962, 965, 1011, 1048

Per 100 inhabitants, 28.9, 28.6, 28.4, 28.5, 28.5, 29.8, 30.8

Uzbekistan

Number (thousands), 1822, 1850, 1857, 1892, 1928, 1980, 2000

Per 100 inhabitants, 6.8, 6.8, 6.8, 6.8, 6.9, 6.9, 6.9

Vanuatu

Number (thousands), 9, 10, 7, 7, 6, 5, 5

Per 100 inhabitants, 4, 4.6, 3.1, 3, 2.4, 2.2, 2

Venezuela (Boliv. Rep. of)

Number (thousands), 5195, 6418, 6867, 7083, 7332, 7649, 7774

Per 100 inhabitants, 18.8, 22.8, 24, 24.4, 24.9, 25.5, 25.6

Viet Nam

Number (thousands), 11166, 14768, 17427, 14374, 10175, 10191, 9289

Per 100 inhabitants, 12.9, 16.9, 19.8, 16.1, 11.3, 11.2, 10.1

Wallis and Futuna Islands

Number (thousands), 2, 3, 3, 3, 3, 3, 

Per 100 inhabitants, 17.3, 20.6, 21.7, 23, 23.5, 23.4, 

Yemen

Number (thousands), 1022, 961, 997, 1046, 1075, 1104, 1143

Per 100 inhabitants, 4.8, 4.4, 4.5, 4.6, 4.6, 4.6, 4.7

Zambia

Number (thousands), 92, 91, 90, 118, 86, 83, 116

Per 100 inhabitants, 0.8, 0.7, 0.7, 0.9, 0.6, 0.6, 0.8

Zimbabwe

Number (thousands), 345, 348, 385, 379, 356, 302, 304

Per 100 inhabitants, 2.7, 2.7, 3, 2.9, 2.7, 2.2, 2.2
