Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013
Per 100 inhabitants, 8.5, 13, 14.7, 17, 15.8, 15.4, 16.1

Iran (Islamic Rep. of)

Number (thousands), 23835, 24800, 25804, 25815, 27767, 28758, 29689

Per 100 inhabitants, 33.2, 34.1, 35.1, 34.7, 36.8, 37.6, 38.3

Iraq

Number (thousands), 1365, 1082, 1650, 1721, 1794, 1871, 1900

Per 100 inhabitants, 4.8, 3.7, 5.5, 5.6, 5.6, 5.7, 5.6

Ireland

Number (thousands), 2259, 2223, 2132, 2078, 2047, 2008, 2034

Per 100 inhabitants, 52.6, 51.1, 48.3, 46.5, 45.3, 43.9, 44

Israel

Number (thousands), 3075, 3224, 3316, 3408, 3500, 3594, 3465

Per 100 inhabitants, 44.4, 45.4, 45.6, 45.9, 46.4, 47, 44.8

Italy

Number (thousands), 22417, 22039, 22643, 22536, 22105, 21656, 20926

Per 100 inhabitants, 37.7, 36.8, 37.6, 37.2, 36.4, 35.6, 34.3

Jamaica

Number (thousands), 370, 317, 302, 263, 270, 253, 248

Per 100 inhabitants, 13.7, 11.6, 11.1, 9.6, 9.8, 9.1, 8.9

Japan

Number (thousands), 51235, 48427, 66794, 65619, 64838, 64273, 64062

Per 100 inhabitants, 40.3, 38, 52.5, 51.5, 50.9, 50.5, 50.4

Jersey

Number (thousands), 74, 74, 74, 74, 0, 0, 

Per 100 inhabitants, 84.1, 0, 0, 0, 0, 0, 

Jordan

Number (thousands), 559, 519, 501, 486, 465, 434, 378

Per 100 inhabitants, 9.9, 8.8, 8.1, 7.5, 6.9, 6.2, 5.2

Kazakhstan

Number (thousands), 3237, 3458, 3857, 4058, 4266, 4361, 4384

Per 100 inhabitants, 21, 22.2, 24.5, 25.5, 26.5, 26.8, 26.7

Kenya

Number (thousands), 464, 646, 664, 381, 284, 252, 206

Per 100 inhabitants, 1.2, 1.7, 1.7, 0.9, 0.7, 0.6, 0.5

Kiribati

Number (thousands), 4, 4, 8, 8, 8, 9, 9

Per 100 inhabitants, 4.3, 4.2, 8.6, 8.6, 8.5, 8.9, 8.8

Kuwait

Number (thousands), 538, 520, 528, 519, 515, 510, 508

Per 100 inhabitants, 21.1, 19.2, 18.5, 17.4, 16.5, 15.7, 15.1

Kyrgyzstan

Number (thousands), 482, 495, 498, 489, 502, 489, 461

Per 100 inhabitants, 9.4, 9.5, 9.5, 9.2, 9.3, 8.9, 8.3

Lao People's Dem. Rep.

Number (thousands), 95, 128, 100, 103, 108, 450, 679

Per 100 inhabitants, 1.6, 2.1, 1.6, 1.6, 1.7, 6.8, 10

Latvia

Number (thousands), 644, 593, 562, 532, 516, 501, 480

Per 100 inhabitants, 29.7, 27.7, 26.6, 25.5, 24.9, 24.3, 23.4

Lebanon

Number (thousands), 698, 750, 804, 838, 855, 867, 870

Per 100 inhabitants, 16.9, 17.9, 18.9, 19.3, 19.1, 18.7, 18

Lesotho

Number (thousands), 48, 41, 40, 39, 39, 51, 58

Per 100 inhabitants, 2.4, 2.1, 2, 1.9, 1.9, 2.5, 2.8

Liberia

Number (thousands), 2, 2, 2, 6, 3, 0, 

Per 100 inhabitants, 0.1, 0.1, 0.1, 0.2, 0.1, 0, 

Libya

Number (thousands), 969, 920, 1063, 1228, 1000, 814, 789

Per 100 inhabitants, 16.8, 15.7, 17.8, 20.3, 16.4, 13.2, 12.7

Liechtenstein

Number (thousands), 20, 20, 20, 20, 20, 18, 18

Per 100 inhabitants, 55.5, 55.1, 54.7, 54.3, 53.9, 50.4, 48.8

Lithuania

Number (thousands), 799, 785, 747, 753, 712, 675, 625

Per 100 inhabitants, 25.1, 25, 24.1, 24.6, 23.4, 22.3, 20.7

Luxembourg39

Number (thousands), 248, 261, 264, 272, 279, 267, 268

Per 100 inhabitants, 52.1, 53.5, 52.9, 53.6, 54.1, 50.9, 50.5

Madagascar

Number (thousands), 134, 165, 186, 142, 237, 243, 250

Per 100 inhabitants, 0.7, 0.8, 0.9, 0.7, 1.1, 1.1, 1.1

Malawi

Number (thousands), 175, 111, 111, 152, 173, 227, 34

Per 100 inhabitants, 1.3, 0.8, 0.8, 1, 1.1, 1.4, 0.2

Malaysia

Number (thousands), 4350, 4514, 4524, 4610, 4523, 4589, 4536

Per 100 inhabitants, 16.2, 16.5, 16.3, 16.3, 15.7, 15.7, 15.3

Maldives

Number (thousands), 33, 47, 30, 28, 24, 23, 23

Per 100 inhabitants, 107, 15, 9.5, 8.7, 7.3, 6.8, 6.5

Mali

Number (thousands), 80, 81, 85, 115, 105, 112, 115

Per 100 inhabitants, 0.6, 0.6, 0.6, 0.8, 0.7, 0.8, 0.8

Malta

Number (thousands), 230, 241, 247, 248, 232, 230, 231

Per 100 inhabitants, 55, 57.3, 58.4, 58.3, 54.5, 53.7, 53.9

Mauritania

Number (thousands), 40, 76, 74, 72, 72, 65, 54

Per 100 inhabitants, 1.2, 2.2, 2.1, 2, 2, 1.7, 1.4

Mauritius

Number (thousands), 361, 364, 375, 388, 375, 349, 363

Per 100 inhabitants, 29.6, 29.7, 30.6, 31.5, 30.3, 28.2, 29.2

Mayotte

Number (thousands), 10, 10, 10, 10, 0, 10, 10

Per 100 inhabitants, 5.4, 5.2, 5, 4.9, 0, 4.6, 4.5

Mexico

Number (thousands), 19998, 20491, 19506, 19919, 19731, 20588, 20590

Per 100 inhabitants, 17.6, 17.8, 16.8, 16.9, 16.5, 17, 16.8

Micronesia (Fed. States of)

Number (thousands), 9, 9, 9, 8, 8, 8, 10

Per 100 inhabitants, 8.3, 8.3, 8.4, 8.2, 8.1, 8.1, 9.7

Monaco

Number (thousands), 35, 35, #43, 43, 44, 46, 47

Per 100 inhabitants, 99.1, 98.1, #118.9, 116.5, 119.4, 121.7, 123.8

Mongolia

