Cayman Islands, R, 4, 12, 19, 25, 286, 706, 910, 933
Costa Rica, T, 128, 155, 200, 435, 65, 68, 76, 140
Costa Rica, R, 151, 190, 650, 800, 77, 83, 246, 257
Cuba, T, 595, "1, 273", "1, 940", "1, 746", 64, 132, 192, 163
Cuba, R, "1, 805", "2, 914", "3, 282", "3, 695", 194, 301, 326, 345
Dominica, T, 0, 0, 0, 5, 0, 0, 0, 72
Dominica, R, 6, 31, 38, 42, 81, 413, 521, 588
Dominican Republic, T, 180, 400, 500, 615, 36, 70, 78, 84
Dominican Republic, R, 770, 900, "1, 020", "1, 250", 153, 158, 159, 171
El Salvador, T, 135, 300, 350, 485, 33, 66, 74, 92
El Salvador, R, "1, 100", "1, 550", "1, 900", "2, 175", 269, 343, 401, 412
Greenland, T, 3, 4, 7, 11, 60, 70, 132, 198
Greenland, R, 13, 15, 19, 23, 260, 300, 358, 411
Grenada, T, 0, 0, 0, 30, 0, 0, 0, 330
Grenada, R, 22, 35, 45, 54, 239, 393, 500, 597
Guadeloupe, T, 18, 37, 77, 104, 55, 113, 217, 263
Guadeloupe, R, 35, 50, 80, 91, 106, 153, 225, 229
Guatemala, T, 110, 175, 207, 490, 18, 25, 26, 52
Guatemala, R, 300, 350, 450, 625, 50, 51, 57, 66
Haiti, T, 13, 16, 21, 31, 3, 3, 4, 5
Haiti, R, 93, 105, 140, 310, 19, 20, 24, 47
Honduras, T, 34, 65, 280, 385, 11, 18, 64, 73
Honduras, R, 142, 500, "1, 600", "2, 045", 46, 137, 365, 386
Jamaica, T, 110, 170, 215, 320, 55, 80, 93, 131
Jamaica, R, 550, 800, 920, "1, 025", 273, 375, 398, 420
Martinique, T, 22, 38, 44, 49, 67, 117, 129, 135
Martinique, R, 57, 62, 67, 73, 173, 190, 196, 201
Mexico, T, "2, 700", "3, 820", "8, 500", "12, 750", 46, 57, 112, 148
Mexico, R, "6, 900", "9, 000", "15, 000", "22, 000", 117, 134, 198, 255
Montserrat, T, 0, 0, 0, 2, 0, 0, 0, 148
Montserrat, R, 5, 6, 6, 6, 413, 458, 545, 577
Netherlands Antilles, T, 35, 43, 58, 64, 211, 251, 331, 363
Netherlands Antilles, R, 132, 175, 190, 205, 795, "1, 023", "1, 086", "1, 162"
Nicaragua, T, 83, 160, 190, 249, 34, 57, 59, 65
Nicaragua, R, 400, 670, 802, 997, 165, 239, 248, 262
Panama, T, 185, 225, 350, 410, 106, 115, 161, 166
Panama, R, 260, 300, 400, 552, 149, 153, 183, 224
Puerto Rico, T, 630, 725, 850, 942, 210, 226, 252, 264
Puerto Rico, R, "1, 760", "2, 000", "2, 300", "2, 540", 588, 624, 681, 713
St. Kitts and Nevis, T, 4, 4, 5, 9, 89, 91, 116, 205
St. Kitts and Nevis, R, 0, 0, 21, 27, 0, 0, 488, 645
Saint Lucia, T, 2, 9, 17, 26, 16, 80, 135, 189
Saint Lucia, R, 70, 81, 92, 103, 648, 704, 738, 763
St. Pierre and Miquelon, T, 2, 3, 4, 4, 283, 533, 600, 652
St. Pierre and Miquelon, R, 2, 4, 4, 4, 350, 583, 633, 698
St. Vincent and the Grenadines, T, 4, 5, 6, 15, 46, 53, 59, 144
St. Vincent and the Grenadines, R, 32, 42, 55, 75, 344, 429, 539, 698
Trinidad and Tobago, T, 105, 210, 320, 394, 104, 194, 276, 315
Trinidad and Tobago, R, 225, 300, 500, 615, 222, 277, 431, 492
Turks and Caicos Is., R, 3, 4, 5, 6, 500, 506, 510, 512
United States, T, "121, 000", "155, 800", "190, 000", "205, 500", 560, 684, 797, 814
United States, R, "401, 000", "454, 000", "500, 000", "534, 800", "1, 857", "1, 996", "2, 097", "2, 118"
US Virgin Islands, T, 30, 50, 59, 65, 316, 510, 551, 607
US Virgin Islands, R, 75, 82, 93, 104, 789, 837, 869, 972
Argentina, T, "4, 000", "5, 140", "6, 500", "7, 190", 154, 182, 214, 220
Argentina, R, "9, 890", "12, 000", "18, 000", "22, 300", 380, 425, 593, 682
Bolivia, T, 45, 300, 420, 755, 9, 54, 66, 103
Bolivia, R, "1, 150", "2, 800", "3, 675", "4, 590", 235, 502, 579, 625
Brazil, T, "8, 400", "15, 000", "25, 000", "31, 400", 78, 124, 184, 207
Brazil, R, "16, 980", "38, 000", "49, 000", "58, 500", 157, 313, 361, 386
Chile, T, 700, "1, 225", "1, 750", "2, 800", 68, 110, 144, 209
Chile, R, "1, 700", "3, 250", "4, 000", "4, 600", 164, 292, 330, 344
Colombia, T, "1, 600", "2, 250", "2, 750", "3, 800", 67, 85, 93, 116
Colombia, R, "2, 808", "3, 300", "4, 000", "5, 800", 118, 124, 136, 177
Ecuador, T, 252, 500, 600, 910, 36, 62, 64, 84
Ecuador, R, "2, 000", "2, 425", "2, 850", "3, 420", 284, 299, 306, 317
Falkland Islands (Malvinas), R, 1, 1, 1, 1, 300, 400, 500, 505
French Guiana, T, 6, 13, 17, 21, 107, 188, 201, 213
French Guiana, R, 14, 30, 59, 76, 241, 435, 705, 759
Guyana, T, 0, 0, 0, 31, 0, 0, 0, 39
Guyana, R, 266, 310, 355, 392, 362, 408, 449, 489
Paraguay, T, 54, 68, 85, 220, 20, 22, 23, 50
Paraguay, R, 185, 350, 600, 750, 69, 111, 162, 171
Peru, T, 610, 895, "1, 500", "2, 150", 40, 52, 77, 98
Peru, R, "2, 050", "2, 750", "4, 000", "5, 570", 135, 159, 206, 253
Suriname, T, 34, 40, 45, 56, 93, 114, 117, 130
Suriname, R, 110, 189, 230, 274, 302, 537, 601, 637
Uruguay, T, 351, 368, 500, 720, 124, 126, 166, 231
Uruguay, R, "1, 500", "1, 630", "1, 760", "1, 880", 530, 559, 585, 604
Venezuela, T, "1, 284", "1, 710", "2, 250", "3, 200", 101, 114, 131, 162
Venezuela, R, "4, 775", "5, 900", "7, 000", "8, 820", 377, 393, 408, 447
Afghanistan, T, 0, 45, 100, 147, 0, 3, 7, 8
Afghanistan, R, 750, "1, 200", "1, 450", "1, 890", 49, 75, 100, 107
Bahrain, T, 30, 90, 170, 215, 110, 259, 396, 415
Bahrain, R, 85, 125, 210, 278, 313, 360, 490, 537
Bangladesh, T, 25, 80, 261, 540, 0, 1, 3, 5
Bangladesh, R, 700, "1, 500", "4, 000", "4, 990", 9, 17, 40, 43
Bhutan, R, 4, 7, 18, 25, 4, 6, 13, 16
Brunei Darussalam, T, 14, 26, 45, 62, 87, 135, 199, 235
Brunei Darussalam, R, 24, 41, 55, 71, 149, 212, 243, 269
Cambodia, T, 30, 35, 52, 70, 4, 5, 7, 8
Cambodia, R, 110, 600, 800, 955, 15, 92, 109, 112
China, T, "1, 185", "4, 000", "10, 000", "35, 800", 1, 4, 9, 31
China, R, "15, 000", "55, 000", "120, 000", "213, 000", 16, 55, 112, 182
Cyprus, T, 59, 85, 92, 102, 97, 135, 138, 144
Cyprus, R, 115, 162, 190, 207, 189, 258, 286, 292
Hong Kong, T, 837, "1, 114", "1, 275", "1, 600", 190, 221, 234, 278
Hong Kong, R, "2, 200", "2, 550", "3, 250", "3, 840", 500, 506, 596, 667
India, T, 515, "3, 000", "10, 000", "30, 000", 1, 4, 13, 35
India, R, "17, 228", "26, 000", "50, 000", "68, 500", 28, 38, 65, 79
Indonesia, T, 300, "3, 000", "6, 438", "11, 000", 2, 20, 38, 59
Indonesia, R, "5, 010", "15, 000", "21, 500", "27, 500", 37, 99, 128, 146
"Iran,  Islamic Rep. of", T, "1, 500", "2, 000", "2, 600", "3, 750", 45, 51, 53, 63
"Iran,  Islamic Rep. of", R, "2, 200", "6, 400", "10, 000", "13, 860", 66, 163, 204, 231
Iraq, T, 415, 650, 900, "1, 350", 38, 50, 59, 72
Iraq, R, "1, 252", "2, 100", "3, 000", "4, 020", 114, 161, 196, 215
Israel, T, 680, 900, "1, 100", "1, 310", 197, 232, 260, 269
Israel, R, 595, 950, "1, 800", "2, 290", 172, 245, 425, 470
Japan, T, "40, 000", "62, 976", "70, 000", "76, 000", 359, 539, 579, 613
Japan, R, "58, 026", "79, 200", "95, 000", "112, 500", 520, 678, 786, 907
Jordan, T, 120, 171, 240, 330, 46, 59, 70, 80
Jordan, R, 450, 550, 791, "1, 060", 173, 188, 232, 256
"Korea,  Dem.Peoples Rep.", T, 100, 130, 200, 338, 6, 7, 10, 15
"Korea,  Dem.Peoples Rep.", R, 750, "1, 500", "2, 000", "2, 650", 45, 82, 101, 119
"Korea,  Republic of", T, "2, 500", "6, 300", "7, 721", "9, 100", 71, 165, 189, 208
"Korea,  Republic of", R, "13, 509", "20, 000", "38, 605", "43, 850", 383, 525, 946, "1, 001"
Kuwait, T, 150, 353, 450, 590, 149, 257, 262, 283
Kuwait, R, 203, 390, 535, 715, 202, 284, 311, 343
Lao Peoples Dem. Rep., T, 0, 0, 0, 25, 0, 0, 0, 6
Lao Peoples Dem. Rep., R, 150, 350, 430, 540, 50, 109, 120, 125
Lebanon, T, 410, 750, 800, 905, 148, 281, 300, 325
Lebanon, R, "1, 321", "2, 000", "2, 050", "2, 320", 477, 749, 768, 833
Macau, T, 0, 0, 0, 32, 0, 0, 0, 67
Macau, R, 61, 80, 99, 130, 235, 248, 253, 274
Malaysia, T, 452, "1, 200", "1, 800", "2, 724", 37, 87, 115, 149
Malaysia, R, "1, 420", "5, 650", "6, 600", "7, 880", 116, 411, 421, 430
Maldives, T, 0, 1, 3, 5, 0, 7, 17, 25
Maldives, R, 3, 7, 19, 26, 20, 44, 104, 118
Mongolia, T, 4, 6, 45, 90, 2, 3, 24, 40
Mongolia, R, 105, 160, 200, 297, 73, 96, 105, 132
Myanmar, T, 0, 1, 20, 80, 0, 0, 1, 2
Myanmar, R, 662, 774, "2, 500", "3, 500", 22, 23, 67, 82
Nepal, T, 0, 0, 20, 40, 0, 0, 1, 2
Nepal, R, 113, 300, 450, 670, 9, 20, 26, 33
Oman, T, 3, 35, 900, "1, 150", 3, 35, 713, 728
Oman, R, 15, 300, 800, "1, 006", 20, 304, 633, 637
Pakistan, T, 380, 938, "1, 304", "2, 205", 5, 11, 13, 18
Pakistan, R, "4, 000", "5, 500", "8, 500", "10, 980", 54, 64, 84, 90
Philippines, T, 756, "1, 050", "1, 500", "2, 800", 18, 22, 27, 44
Philippines, R, "1, 800", "2, 100", "5, 000", "8, 810", 42, 43, 90, 138
Qatar, T, 20, 76, 120, 198, 117, 331, 335, 450
Qatar, R, 50, 90, 150, 195, 292, 393, 419, 443
Saudi Arabia, T, 800, "2, 100", "3, 050", "4, 100", 110, 224, 246, 266
Saudi Arabia, R, 950, "2, 500", "3, 550", "4, 670", 131, 267, 287, 304
Singapore, T, 421, 750, 850, "1, 035", 186, 311, 332, 378
Singapore, R, 725, 900, "1, 550", "1, 770", 320, 373, 606, 646
Sri Lanka, T, 0, 35, 450, "17, 100", 0, 2, 28, 981
Sri Lanka, R, 700, "1, 454", "2, 551", "3, 460", 51, 98, 158, 198
Syrian Arab Republic, T, 224, 385, 600, 770, 30, 44, 58, 60
Syrian Arab Republic, R, "1, 400", "1, 700", "2, 200", "3, 270", 188, 195, 213, 255
Thailand, T, 500, "1, 000", "4, 122", "6, 300", 12, 21, 81, 114
Thailand, R, "4, 000", "6, 550", "8, 000", "10, 550", 97, 140, 156, 191
Turkey, T, "1, 050", "3, 500", "8, 000", "10, 000", 26, 79, 159, 175
Turkey, R, "4, 200", "5, 000", "7, 000", "9, 200", 105, 113, 139, 161
