Number (thousands), 0, 444, 442, 452, 495, 498, 493, 482, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 32.9, 32.8, 33.6, 36.9, 37.1, 36.7, 36, 0, 0, 0, 0, 

Ethiopia

Number (thousands), (30/06), 484, 610, 725, 880, 897, 915, 909, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.7, 0.8, 1, 1.1, 1.1, 1.1, 1.1, 0, 0, 0, 0, 

Faeroe Islands

Number (thousands), 0, 24, 24, 23, 22, 22, 21, 20, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 50, 49.4, 47.5, 46.2, 44.9, 43, 41.4, 0, 0, 0, 0, 

Falkland Is. (Malvinas)

Number (thousands), 0, 3, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 87.3, 86.3, 80.9, 78.9, 66.7, 65.7, 65.9, 0, 0, 0, 0, 

Fiji

Number (thousands), 0, 105, 112, 115, 122, 129, 137, 137, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 12.8, 13.7, 13.9, 14.6, 15.3, 16.1, 15.9, 0, 0, 0, 0, 

Finland

Number (thousands), 0, 2368, 2120, 1910, 1740, 1650, 1430, 1250, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 45.3, 40.4, 36.3, 32.9, 31, 26.8, 23.3, 0, 0, 0, 0, 

France

Number (thousands), 0, 33703, 33707, 34125, 34800, 35100, 35400, 35200, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 55.6, 55.3, 55.6, 56.4, 56.5, 56.7, 56.1, 0, 0, 0, 0, 

French Polynesia

Number (thousands), 0, 53, 53, 54, 54, 55, 54, 55, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 21.2, 21, 20.8, 20.7, 20.6, 20.3, 20.3, 0, 0, 0, 0, 

Gabon

Number (thousands), 0, 39, 39, 36, 27, 27, 27, 30, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 2.9, 2.9, 2.6, 1.9, 1.8, 1.8, 2, 0, 0, 0, 0, 

Gambia

Number (thousands), (01/04), 43, 44, 46, 49, 49, 48, 49, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 2.9, 2.9, 3, 3.1, 3, 2.9, 2.8, 0, 0, 0, 0, 

Georgia

Number (thousands), (01/04), 683, 570, 553, 556, 618, 620, 597, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 15.1, 12.7, 12.5, 12.6, 14.1, 14.2, 13.7, 0, 0, 0, 0, 

Germany

Number (thousands), 0, 54526, 54791, 54400, 53100, 50300, 47500, 45600, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 66.1, 66.4, 65.9, 64.4, 61, 57.6, 55.4, 0, 0, 0, 0, 

Ghana

Number (thousands), 0, 313, 322, 356, 377, 144, 267, 278, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.5, 1.5, 1.6, 1.7, 0.6, 1.1, 1.1, 0, 0, 0, 0, 

Gibraltar

Number (thousands), 0, 25, 25, 24, 24, 24, 24, 24, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 88.1, 86, 82.1, 81.9, 82, 82, 82.1, 0, 0, 0, 0, 

Greece

Number (thousands), 0, 6352, 6312, 6170, 5469, 5254, 5248, 5203, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 57, 56.4, 55, 48.6, 46.5, 46.3, 45.8, 0, 0, 0, 0, 

Greenland

Number (thousands), 0, 25, 32, 36, 23, 23, 22, 22, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 44.1, 56.2, 62.8, 40.4, 39.8, 38.5, 38.1, 0, 0, 0, 0, 

Grenada

Number (thousands), 0, 33, 27, 28, 29, 29, 28, 28, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 31.9, 26.7, 26.9, 27.6, 27.6, 27.2, 27.2, 0, 0, 0, 0, 

Guam

Number (thousands), 0, 66, 66, 66, 66, 66, 66, 66, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 39.5, 38.9, 38.3, 37.8, 37.3, 36.9, 36.4, 0, 0, 0, 0, 

Guatemala

Number (thousands), 0, 1132, 1248, 1355, 1414, 1449, 1413, 1499, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 9.1, 9.8, 10.4, 10.6, 10.6, 10.1, 10.4, 0, 0, 0, 0, 

Guernsey

Number (thousands), 0, 45, 45, 45, 45, 45, 45, 45, 0, 0, 0, 0, 

Per 100 inhabitants8, 0, 80.9, 85.1, 89.8, 0, 0, 0, 0, 0, 0, 0, 0, 

Guinea

Number (thousands), 0, 26, 25, 23, 22, 27, 22, 18, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.3, 0.3, 0.3, 0.2, 0.3, 0.2, 0.2, 0, 0, 0, 0, 

Guinea-Bissau

Number (thousands), 0, 10, 10, 7, 5, 5, 5, 5, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.7, 0.7, 0.5, 0.3, 0.3, 0.3, 0.3, 0, 0, 0, 0, 

Guyana

Number (thousands), 0, 103, 110, 118, 128, 139, 147, 150, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 13.8, 14.8, 15.8, 17.1, 18.5, 19.5, 19.9, 0, 0, 0, 0, 

Haiti

Number (thousands), 0, 140, 145, 150, 108, 108, 108, 50, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.5, 1.6, 1.6, 1.1, 1.1, 1.1, 0.5, 0, 0, 0, 0, 

Honduras

Number (thousands), 0, 387, 494, 715, 821, 826, 716, 670, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 5.7, 7.2, 10.2, 11.5, 11.3, 9.6, 8.8, 0, 0, 0, 0, 

Hungary

Number (thousands), 0, 3564, 3416, 3360, 3251, 3094, 3069, 2977, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 35.3, 33.9, 33.4, 32.4, 30.9, 30.7, 29.8, 0, 0, 0, 0, 

Iceland

Number (thousands), 0, 190, 194, 189, 187, 200, 190, 204, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 65, 65.3, 62.7, 61.1, 64.2, 60.3, 63.7, 0, 0, 0, 0, 

India

Number (thousands), (01/04), 46198, 50177, 40770, 39250, 37900, 37060, 35090, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 4.1, 4.4, 3.5, 3.3, 3.2, 3.1, 2.9, 0, 0, 0, 0, 

Indonesia

Number (thousands), 0, 10376, 13508, 14821, 19530, 30378, 33958, 37960, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 4.6, 5.9, 6.5, 8.4, 12.9, 14.3, 15.8, 0, 0, 0, 0, 

Iran (Islamic Rep. of)

Number (thousands), (22/03), 16342, 20339, 22627, 23835, 24800, 25804, 26849, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 23.7, 29.2, 32.1, 33.4, 34.3, 35.3, 36.3, 0, 0, 0, 0, 

Iraq

Number (thousands), (30/06), 1034, 1115, 1248, 1365, 1082, 1108, 1600, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 3.9, 4.1, 4.4, 4.7, 3.6, 3.6, 5.1, 0, 0, 0, 0, 

Ireland

Number (thousands), (01/04), 2015, 2052, 2177, 2259, 2223, 2132, 2078, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 49.3, 49.4, 51.5, 52.6, 51.1, 48.3, 46.5, 0, 0, 0, 0, 

Israel

Number (thousands), 0, 2896, 2936, 3005, 3075, 3224, 3250, 3276, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 44.8, 44.5, 44.5, 44.4, 45.5, 44.8, 44.2, 0, 0, 0, 0, 

Italy

Number (thousands), 0, 25957, 25049, 26890, 22417, 22039, 21699, 21600, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 44.6, 42.7, 45.5, 37.7, 36.8, 36, 35.7, 0, 0, 0, 0, 

Jamaica

Number (thousands), (01/04), 423, 319, 343, 370, 317, 302, 263, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 15.9, 11.9, 12.7, 13.7, 11.6, 11.1, 9.6, 0, 0, 0, 0, 

Japan

Number (thousands), (01/04), 59608, 58053, 56029, 51235, 48427, 44.364, 40419, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 47.2, 45.9, 44.3, 40.5, 38.3, 35.1, 31.9, 0, 0, 0, 0, 

Jersey1

Number (thousands), 0, 74, 74, 74, 74, 74, 74, 74, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 84.1, 84.1, 84.1, 84.1, 0, 0, 0, 0, 0, 0, 0, 

Jordan

Number (thousands), 0, 638, 628, 614, 559, 519, 501, 485, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 12.2, 11.8, 11.2, 9.9, 8.9, 8.3, 7.8, 0, 0, 0, 0, 

Kazakhstan

Number (thousands), 0, 2550, 2708, 2928, 3237, 3458, 3857, 4011, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 16.9, 17.9, 19.1, 20.9, 22.1, 24.3, 25, 0, 0, 0, 0, 

Kenya

Number (thousands), (30/06), 299, 287, 293, 464, 646, 664, 460, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.9, 0.8, 0.8, 1.2, 1.7, 1.7, 1.1, 0, 0, 0, 0, 

Kiribati

Number (thousands), 0, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 4.8, 4.6, 4.3, 4.2, 4.1, 4.1, 4.1, 0, 0, 0, 0, 

"Korea,   Dem. P. R."

Number (thousands), 0, 1000, 1000, 1000, 1180, 1180, 1180, 1180, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 4.2, 4.2, 4.2, 4.9, 4.9, 4.9, 4.9, 0, 0, 0, 0, 

"Korea,   Republic of"

Number (thousands), 0, 23568, 23905, 22431, 23007, 24358, 26914, 28543, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 50.3, 50.8, 47.5, 48.4, 51, 56.1, 59.2, 0, 0, 0, 0, 

Kuwait

Number (thousands), 0, 497, 505, 517, 529, 541, 554, 566, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 22.7, 22.3, 22, 21.6, 21.2, 20.9, 20.7, 0, 0, 0, 0, 

Kyrgyzstan

Number (thousands), 0, 416, 440, 459, 482, 495, 498, 502, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 8.3, 8.7, 9, 9.4, 9.5, 9.5, 9.4, 0, 0, 0, 0, 

Lao Peoples Dem. Rep.

Number (thousands), 0, 75, 91, 92, 95, 128, 100, 103, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.3, 1.6, 1.6, 1.6, 2.1, 1.6, 1.7, 0, 0, 0, 0, 

Latvia

Number (thousands), 0, 650, 731, 657, 644, 593, 562, 532, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 28.1, 31.7, 28.7, 28.2, 26.1, 24.8, 23.6, 0, 0, 0, 0, 

Lebanon

Number (thousands), 0, 630, 635, 681, 698, 750, 804, 888, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 15.8, 15.7, 16.6, 16.9, 18, 19.2, 21, 0, 0, 0, 0, 

Lesotho

Number (thousands), (01/04), 37, 48, 53, 48, 41, 40, 39, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.8, 2.3, 2.6, 2.3, 1.9, 1.9, 1.8, 0, 0, 0, 0, 

Liberia

Number (thousands), 0, 0, 0, 0, 2, 2, 2, 6, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.2, 0, 0, 0, 0, 

Libyan Arab Jamah.

Number (thousands), 0, 852, 909, 969, 920, 1063, 1228, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 14.1, 14.8, 15.4, 16.1, 15, 17, 19.3, 0, 0, 0, 0, 

Liechtenstein

Number (thousands), 0, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 58.1, 57.7, 56.5, 55.5, 55.2, 54.8, 54.4, 0, 0, 0, 0, 

Lithuania

Number (thousands), 0, 820, 801, 792, 799, 785, 747, 734, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 23.9, 23.5, 23.3, 23.7, 23.4, 22.4, 22.1, 0, 0, 0, 0, 

Luxembourg448

