Number (thousands), 127, 4612, 24969, 30732, 31830, 33633, 37716

Per 100 inhabitants, 0, 13, 61, 71, 72, 74, 81

Kiribati

Number (thousands), 0, 1, 11, 18, 20, 30, 41

Per 100 inhabitants, 0, 1, 11, 18, 20, 29, 39

Kuwait

Number (thousands), 476, 1382, 3979, 5100, 6410, 7600, 8305

Per 100 inhabitants, 25, 60, 133, 157, 190, 218, 232

Kyrgyzstan

Number (thousands), 9, 542, 5275, 6798, 6737, 7563, 7579

Per 100 inhabitants, 0, 11, 99, 124, 121, 134, 133

Lao People's Dem. Rep.

Number (thousands), 13, 658, 4003, 4300, 4613, 4619, 3727

Per 100 inhabitants, 0, 11, 63, 65, 68, 67, 53

Latvia

Number (thousands), 401, 1872, 2306, 2631, 2558, 2384, 2579

Per 100 inhabitants, 17, 84, 110, 128, 125, 117, 127

Lebanon

Number (thousands), 743, 994, 2864, 3755, 3885, 4387, 4400

Per 100 inhabitants, 23, 25, 66, 81, 81, 88, 87

Lesotho

Number (thousands), 22, 250, 987, 1545, 1790, 2139, 2237

Per 100 inhabitants, 1, 13, 49, 75, 86, 102, 106

Liberia

Number (thousands), 2, 160, 1571, 2380, 2551, 3225, 3652

Per 100 inhabitants, 0, 5, 40, 57, 59, 73, 81

Libya

Number (thousands), 40, 2000, 10900, 9587, 10235, 10076, 9918

Per 100 inhabitants, 1, 36, 180, 156, 165, 161, 157

Liechtenstein

Number (thousands), 10, 28, 36, 36, 38, 41, 41

Per 100 inhabitants, 30, 79, 98, 98, 104, 109, 109

Lithuania

Number (thousands), 524, 4353, 4891, 4997, 4566, 4268, 4184

Per 100 inhabitants, 15, 132, 159, 165, 151, 142, 140

Luxembourg

Number (thousands), 303, 510, 727, 761, 788, 802, 807

Per 100 inhabitants, 70, 111, 143, 145, 149, 149, 149

Madagascar

Number (thousands), 63, 510, 7712, 8779, 8461, 9714, 11152

Per 100 inhabitants, 0, 3, 37, 39, 37, 41, 46

Malawi

Number (thousands), 49, 421, 3117, 4647, 5290, 5633, 6116

Per 100 inhabitants, 0, 3, 21, 29, 32, 33, 35

Malaysia

Number (thousands), 5122, 19545, 33859, 41325, 43005, 44929, 44111

Per 100 inhabitants, 22, 76, 120, 141, 145, 149, 144

Maldives

Number (thousands), 8, 204, 494, 561, 625, 666, 740

Per 100 inhabitants, 3, 68, 152, 166, 181, 189, 207

Mali

Number (thousands), 10, 762, 7440, 14613, 19749, 23506, 22699

Per 100 inhabitants, 0, 6, 53, 98, 129, 149, 140

Malta

Number (thousands), 114, 324, 456, 532, 557, 546, 558

Per 100 inhabitants, 28, 78, 107, 124, 130, 127, 129

Marshall Islands

Number (thousands), 0, 1, 0, 0, 0, 16, 16

Per 100 inhabitants, 1, 1, 0, 0, 0, 29, 29

Mauritania

Number (thousands), 15, 746, 2776, 4025, 3988, 3753, 3644

Per 100 inhabitants, 1, 24, 77, 106, 103, 94, 89

Mauritius

Number (thousands), 180, 657, 1191, 1486, 1534, 1652, 1762

Per 100 inhabitants, 15, 54, 97, 120, 123, 132, 141

Mayotte 1

Number (thousands), 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 

Mexico

Number (thousands), 14078, 47129, 91383, 100727, 106748, 104798, 106831

Per 100 inhabitants, 14, 43, 78, 83, 87, 85, 85

Micronesia (Fed. States of)

Number (thousands), 0, 14, 28, 31, 31, 0, 

Per 100 inhabitants, 0, 13, 27, 30, 30, 0, 

Monaco

Number (thousands), 14, 17, 23, 33, 35, 34, 34

Per 100 inhabitants, 43, 51, 64, 88, 94, 88, 89

Mongolia

Number (thousands), 155, 557, 2510, 3375, 2878, 3027, 3068

Per 100 inhabitants, 6, 22, 93, 121, 101, 105, 105

Montenegro

Number (thousands), 0, 543, 1170, 991, 994, 1013, 1008

Per 100 inhabitants, 0, 88, 189, 160, 160, 163, 162

Montserrat

Number (thousands), 0, 0, 4, 4, 5, 5, 5

Per 100 inhabitants, 10, 0, 85, 83, 88, 88, 97

Morocco

Number (thousands), 2342, 12393, 31982, 39016, 42424, 44115, 43080

Per 100 inhabitants, 8, 41, 101, 120, 129, 132, 127

Mozambique

